107,240,-54,-312
207,224,-69,-313
307,223,-63,-308
407,229,-65,-310
507,189,-54,-310
607,227,-59,-312
707,198,-64,-311
807,191,-56,-312
907,209,-60,-310
1007,199,-53,-310
1120,228,-60,-310
1220,228,-61,-315
1320,227,-48,-310
1420,214,-58,-312
1520,199,-46,-310
1620,185,-53,-315
1720,209,-56,-307
1820,220,-54,-312
1920,224,-40,-311
2020,204,-62,-312
2132,202,-39,-310
2232,220,-74,-314
2332,228,-63,-312
2432,207,-67,-312
2532,195,-75,-312
2632,216,-53,-308
2732,209,-63,-311
2832,205,-39,-313
2932,226,-47,-309
3032,199,-40,-318
3141,219,-37,-306
3241,183,-41,-313
3341,224,-56,-307
3441,202,-65,-312
3541,192,-60,-312
3641,209,-54,-312
3741,211,-73,-312
3841,202,-80,-312
3941,216,-57,-310
4041,227,-61,-312
4147,222,-53,-310
4247,220,-52,-309
4347,240,-47,-310
4447,208,-60,-308
4547,217,-54,-304
4647,186,-56,-309
4747,205,-64,-308
4847,209,-61,-309
4947,212,-49,-312
5047,210,-38,-312
5153,228,-61,-309
5253,192,-68,-314
5353,189,-80,-310
5453,240,-64,-306
5553,223,-53,-307
5653,211,-63,-310
5753,225,-50,-312
5853,209,-65,-309
5953,220,-71,-309
6053,178,-62,-307
6219,226,-58,-313
6319,210,-50,-307
6419,180,-48,-310
6519,213,-47,-310
6619,191,-45,-308
6719,168,-44,-305
6819,224,-27,-307
6919,240,-56,-307
7019,204,-35,-312
7119,210,-54,-304
7225,212,-59,-311
7325,212,-46,-310
7425,227,-45,-312
7525,211,-54,-308
7625,188,-44,-310
7725,217,-53,-310
7825,209,-59,-310
7925,208,-53,-310
8025,204,-47,-312
8125,212,-50,-314
8231,208,-56,-310
8331,200,-50,-310
8431,190,-57,-308
8531,216,-47,-311
8631,222,-35,-309
8731,214,-54,-315
8831,211,-61,-308
8931,193,-48,-307
9031,198,-40,-312
9131,192,-51,-307
9296,202,-55,-309
9396,188,-70,-311
9496,228,-61,-305
9596,220,-61,-310
9696,184,-48,-309
9796,209,-76,-312
9896,240,-62,-312
9996,211,-67,-312
10096,201,-53,-307
10196,174,-55,-311
10302,203,-68,-314
10402,208,-55,-313
10502,204,-61,-307
10602,187,-53,-312
10702,160,-67,-309
10802,220,-61,-313
10902,180,-52,-310
11002,216,-47,-312
11102,220,-32,-308
11202,200,-57,-311
11308,201,-42,-310
11408,189,-50,-310
11508,210,-61,-310
11608,212,-43,-308
11708,200,-41,-310
11808,188,-66,-308
11908,209,-51,-310
12008,197,-44,-310
12108,237,-46,-312
12208,184,-56,-309
12375,199,-52,-309
12475,220,-67,-311
12575,208,-57,-309
12675,196,-46,-310
12775,183,-56,-313
12875,192,-51,-307
12975,207,-47,-313
13075,210,-56,-309
13175,212,-69,-310
13275,206,-60,-308
13381,212,-56,-307
13481,209,-71,-309
13581,211,-40,-309
13681,176,-44,-307
13781,223,-62,-307
